date,Negative factual tweets,Negative personal tweets,Positive factual tweets,Positive personal tweets,Neutral factual tweets,Neutral personal tweets,Total amount of tweets
2020-04-13,6,7,27,36,30,0,106
2020-04-14,8,2,31,26,47,0,114
2020-04-15,5,4,29,38,58,1,135
2020-04-16,5,2,38,39,48,3,135
2020-04-17,7,8,68,39,89,1,212
2020-04-18,5,3,17,32,98,4,159
2020-04-19,1,3,14,25,63,2,108
2020-04-20,13,4,34,44,80,2,177
2020-04-21,3,4,23,28,68,0,126
2020-04-22,6,7,30,37,47,0,127
2020-04-23,5,3,32,40,51,2,133
2020-04-24,12,4,21,31,47,0,115
2020-04-25,10,4,29,27,45,0,115
2020-04-26,2,3,22,30,29,1,87
2020-04-27,11,11,47,41,70,2,182
2020-04-28,15,7,47,47,70,6,192
2020-04-29,4,2,25,39,55,9,134
2020-04-30,11,9,38,48,79,35,220
2020-05-01,10,7,75,55,95,10,252
2020-05-02,81,52,632,366,541,12,1684
2020-05-03,278,90,442,358,982,91,2241
2020-05-04,69,51,206,218,311,43,898
2020-05-05,27,17,123,95,140,10,412
2020-05-06,12,10,71,63,104,11,271
2020-05-07,20,12,51,60,54,15,212
2020-05-08,25,5,40,54,48,3,175
2020-05-09,11,5,45,43,54,9,167
2020-05-10,5,2,32,49,37,1,126
2020-05-11,14,5,43,50,53,5,170
2020-05-12,7,7,42,51,43,17,167
2020-05-13,31,7,55,34,46,7,180
2020-05-14,19,4,58,60,69,6,216
2020-05-15,12,6,61,48,80,0,207
2020-05-16,24,13,63,72,110,5,287
2020-05-17,14,3,48,46,102,4,217
2020-05-18,16,4,45,68,81,2,216
2020-05-19,9,8,48,47,64,3,179
2020-05-20,12,16,27,38,46,4,143
2020-05-21,7,6,40,40,45,1,139
2020-05-22,8,5,36,41,29,4,123
2020-05-23,10,6,27,31,28,1,103
2020-05-24,8,2,26,24,33,1,94
2020-05-25,5,6,22,23,45,4,105
2020-05-26,7,4,33,38,57,0,139
2020-05-27,21,5,38,40,86,1,191
2020-05-28,14,8,29,32,132,1,216
2020-05-29,3,6,33,26,69,1,138
2020-05-30,8,4,33,40,41,3,129
2020-05-31,5,3,24,44,21,1,98
